Date,Weight Class,Method,Round,Time,Fighter 1 Name,Fighter 1 Result,Fighter 1 KD,Fighter 1 SIG STR,Fighter 1 TD,Fighter 1 SUB ATT,Fighter 1 REV,Fighter 1 Ctrl,Fighter 1 Distance,Fighter 1 Clinch,Fighter 1 Ground,Fighter 2 Name,Fighter 2 Result,Fighter 2 KD,Fighter 2 SIG STR,Fighter 2 TD,Fighter 2 SUB ATT,Fighter 2 REV,Fighter 2 Ctrl,Fighter 2 Distance,Fighter 2 Clinch,Fighter 2 Ground
"July 08, 2023",UFC Flyweight Title Bout,Method:Decision - Split,Round:5,Time:5:00,Brandon Moreno,L,0,147 of 245,2 of 4,0,3,4:01,128 of 220,12 of 14,7 of 11,Alexandre Pantoja,W,1,129 of 274,6 of 11,0,0,8:26,104 of 239,13 of 21,12 of 14
"July 08, 2023",Middleweight Bout,Method:KO/TKO,Round:2,Time:2:23,Robert Whittaker,L,0,31 of 70,1 of 1,0,0,0:23,29 of 68,2 of 2,0 of 0,Dricus Du Plessis,W,1,62 of 104,1 of 1,0,0,0:57,41 of 77,8 of 10,13 of 17
"July 08, 2023",Lightweight Bout,Method:Decision - Split,Round:3,Time:5:00,Jalin Turner,L,0,100 of 177,1 of 3,0,0,0:18,78 of 152,18 of 21,4 of 4,Dan Hooker,W,1,125 of 197,0 of 2,1,0,3:09,100 of 157,19 of 31,6 of 9
"July 08, 2023",Middleweight Bout,Method:KO/TKO,Round:1,Time:0:38,Bo Nickal,W,1,7 of 10,0 of 1,0,0,0:02,6 of 9,0 of 0,1 of 1,Val Woodburn,L,0,2 of 9,0 of 0,0,0,0:00,2 of 9,0 of 0,0 of 0
"July 08, 2023",Welterweight Bout,Method:KO/TKO,Round:1,Time:0:38,Robbie Lawler,W,1,8 of 10,0 of 0,0,0,0:00,4 of 6,4 of 4,0 of 0,Niko Price,L,0,2 of 7,0 of 0,0,0,0:00,1 of 6,1 of 1,0 of 0
"July 08, 2023",Catch Weight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Tatsuro Taira,W,0,61 of 78,2 of 3,1,1,9:53,26 of 36,0 of 0,35 of 42,Edgar Chairez,L,1,25 of 38,0 of 0,2,1,0:25,25 of 38,0 of 0,0 of 0
"July 08, 2023",Women's Strawweight Bout,Method:KO/TKO,Round:1,Time:0:20,Yazmin Jauregui,L,0,0 of 1,0 of 0,0,0,0:00,0 of 1,0 of 0,0 of 0,Denise Gomes,W,1,17 of 20,0 of 0,0,0,0:10,4 of 6,0 of 0,13 of 14
"July 08, 2023",Light Heavyweight Bout,Method:Submission,Round:2,Time:1:55,Jimmy Crute,L,0,26 of 53,1 of 5,0,0,1:12,6 of 31,20 of 22,0 of 0,Alonzo Menifield,W,0,21 of 36,0 of 0,1,0,1:45,17 of 32,4 of 4,0 of 0
"July 08, 2023",Light Heavyweight Bout,Method:Submission,Round:3,Time:3:42,Vitor Petrino,W,0,44 of 81,4 of 6,2,0,8:39,24 of 58,1 of 1,19 of 22,Marcin Prachnio,L,0,55 of 88,0 of 1,0,0,0:18,41 of 73,14 of 15,0 of 0
"July 08, 2023",Bantamweight Bout,Method:KO/TKO,Round:1,Time:3:10,Cameron Saaiman,W,0,18 of 32,2 of 2,1,1,1:37,0 of 2,4 of 6,14 of 24,Terrence Mitchell,L,0,3 of 7,1 of 2,0,0,1:06,0 of 3,2 of 3,1 of 1
"July 08, 2023",Flyweight Bout,Method:KO/TKO,Round:1,Time:0:17,Shannon Ross,L,0,2 of 3,0 of 0,0,0,0:00,2 of 3,0 of 0,0 of 0,Jesus Aguilar,W,1,2 of 3,0 of 0,0,0,0:00,2 of 3,0 of 0,0 of 0
"July 08, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Kamuela Kirk,L,0,56 of 107,3 of 14,1,0,6:20,51 of 101,5 of 6,0 of 0,Esteban Ribovics,W,0,115 of 202,2 of 2,0,0,1:15,92 of 172,10 of 13,13 of 17
"July 01, 2023",Middleweight Bout,Method:KO/TKO,Round:2,Time:4:20,Sean Strickland,W,1,81 of 188,0 of 0,0,0,0:10,67 of 168,0 of 0,14 of 20,Abus Magomedov,L,0,47 of 101,1 of 2,0,0,0:23,47 of 101,0 of 0,0 of 0
"July 01, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Damir Ismagulov,L,0,13 of 28,0 of 0,0,1,0:08,13 of 28,0 of 0,0 of 0,Grant Dawson,W,0,30 of 57,3 of 5,1,0,12:24,9 of 35,1 of 1,20 of 21
"July 01, 2023",Welterweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Max Griffin,L,0,36 of 102,0 of 8,0,0,2:10,35 of 99,1 of 3,0 of 0,Michael Morales,W,0,72 of 164,1 of 1,0,0,0:27,68 of 159,4 of 5,0 of 0
"July 01, 2023",Women's Flyweight Bout,Method:Decision - Split,Round:3,Time:5:00,Ariane Lipski,W,0,66 of 149,1 of 1,0,0,0:47,53 of 131,12 of 15,1 of 3,Melissa Gatto,L,0,85 of 186,0 of 7,0,0,2:57,70 of 165,15 of 21,0 of 0
"July 01, 2023",Lightweight Bout,Method:Submission,Round:1,Time:4:48,Ismael Bonfim,L,0,14 of 24,0 of 0,0,0,0:10,8 of 18,5 of 5,1 of 1,Benoit Saint Denis,W,0,13 of 33,2 of 7,2,0,2:57,11 of 29,2 of 4,0 of 0
"July 01, 2023",Middleweight Bout,Method:KO/TKO,Round:1,Time:1:17,Brunno Ferreira,L,0,3 of 5,0 of 0,0,0,0:00,3 of 5,0 of 0,0 of 0,Nursulton Ruziboev,W,0,6 of 9,1 of 1,0,0,0:01,3 of 5,0 of 0,3 of 4
"July 01, 2023",Welterweight Bout,Method:Submission,Round:1,Time:0:55,Kevin Lee,L,0,3 of 8,0 of 0,0,0,0:00,3 of 8,0 of 0,0 of 0,Rinat Fakhretdinov,W,1,11 of 17,0 of 0,1,0,0:20,11 of 17,0 of 0,0 of 0
"July 01, 2023",Featherweight Bout,Method:KO/TKO,Round:1,Time:2:54,Joanderson Brito,W,0,22 of 30,1 of 1,0,0,2:08,5 of 10,3 of 3,14 of 17,Westin Wilson,L,0,4 of 8,0 of 0,2,0,0:00,3 of 7,1 of 1,0 of 0
"July 01, 2023",Women's Featherweight Bout,Method:Decision - Split,Round:3,Time:5:00,Yana Santos,L,0,95 of 156,0 of 0,0,0,3:53,63 of 113,32 of 43,0 of 0,Karol Rosa,W,0,66 of 130,1 of 1,0,0,0:41,48 of 106,12 of 14,6 of 10
"July 01, 2023",Lightweight Bout,Method:KO/TKO,Round:3,Time:3:17,Guram Kutateladze,L,0,85 of 163,1 of 3,0,0,2:23,54 of 122,25 of 30,6 of 11,Elves Brener,W,1,65 of 132,2 of 7,0,0,2:48,53 of 112,6 of 8,6 of 12
"July 01, 2023",Women's Flyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Ivana Petrovic,L,0,22 of 62,2 of 6,2,1,4:11,16 of 50,4 of 10,2 of 2,Luana Carolina,W,0,41 of 87,1 of 3,0,0,5:45,27 of 66,7 of 8,7 of 13
"July 01, 2023",Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Alexandr Romanov,W,0,85 of 154,2 of 3,0,0,2:53,74 of 137,4 of 4,7 of 13,Blagoy Ivanov,L,0,44 of 108,0 of 0,0,0,0:00,44 of 108,0 of 0,0 of 0
"June 24, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:5,Time:5:00,Josh Emmett,L,0,87 of 305,0 of 0,0,0,0:00,87 of 305,0 of 0,0 of 0,Ilia Topuria,W,1,152 of 344,3 of 3,0,0,3:35,114 of 289,2 of 2,36 of 53
"June 24, 2023",Women's Flyweight Bout,Method:KO/TKO,Round:2,Time:3:42,Amanda Ribas,L,0,35 of 74,2 of 3,0,0,2:25,30 of 68,5 of 6,0 of 0,Maycee Barber,W,0,81 of 124,0 of 1,0,0,1:22,32 of 60,6 of 9,43 of 55
"June 24, 2023",Featherweight Bout,Method:KO/TKO,Round:2,Time:4:13,David Onama,W,1,53 of 104,0 of 1,0,1,2:53,42 of 86,3 of 5,8 of 13,Gabriel Santos,L,0,39 of 73,2 of 4,2,0,1:31,36 of 70,1 of 1,2 of 2
"June 24, 2023",Middleweight Bout,Method:Submission,Round:1,Time:4:39,Brendan Allen,W,1,30 of 56,0 of 2,1,0,2:29,15 of 32,5 of 5,10 of 19,Bruno Silva,L,0,20 of 38,0 of 0,0,0,0:02,16 of 33,4 of 5,0 of 0
"June 24, 2023",Welterweight Bout,Method:Decision - Split,Round:3,Time:5:00,Neil Magny,W,0,29 of 65,0 of 3,0,0,4:31,17 of 46,12 of 19,0 of 0,Phil Rowe,L,0,34 of 64,1 of 2,0,0,4:38,32 of 58,2 of 6,0 of 0
"June 24, 2023",Welterweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Randy Brown,W,0,64 of 134,2 of 2,0,0,2:47,53 of 121,11 of 13,0 of 0,Wellington Turman,L,0,55 of 105,0 of 5,0,0,3:05,43 of 90,12 of 15,0 of 0
"June 24, 2023",Lightweight Bout,Method:KO/TKO,Round:2,Time:2:36,Mateusz Rebecki,W,2,54 of 95,1 of 1,1,0,1:57,54 of 95,0 of 0,0 of 0,Loik Radzhabov,L,0,19 of 54,0 of 0,0,0,0:03,19 of 54,0 of 0,0 of 0
"June 24, 2023",Women's Strawweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Tabatha Ricci,W,0,100 of 315,3 of 8,0,0,0:38,95 of 306,3 of 7,2 of 2,Gillian Robertson,L,0,76 of 219,1 of 4,0,0,0:26,74 of 212,2 of 7,0 of 0
"June 24, 2023",Flyweight Bout,Method:Decision - Split,Round:3,Time:5:00,Zhalgas Zhumagulov,L,0,103 of 287,1 of 5,0,0,1:10,101 of 281,2 of 6,0 of 0,Joshua Van,W,0,120 of 234,0 of 2,0,0,0:01,106 of 217,14 of 17,0 of 0
"June 24, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Trevor Peek,L,0,51 of 125,0 of 0,0,1,1:23,39 of 105,12 of 20,0 of 0,Chepe Mariscal,W,0,71 of 117,4 of 12,1,1,5:29,41 of 78,20 of 23,10 of 16
"June 24, 2023",Featherweight Bout,Method:Decision - Split,Round:3,Time:5:00,Jamall Emmers,L,0,57 of 155,1 of 6,0,2,4:17,51 of 146,1 of 3,5 of 6,Jack Jenkins,W,0,59 of 119,1 of 1,0,0,0:15,53 of 110,1 of 2,5 of 7
"June 24, 2023",Middleweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Cody Brundage,L,0,3 of 10,2 of 4,1,1,1:53,3 of 10,0 of 0,0 of 0,Sedriques Dumas,W,0,17 of 22,0 of 0,0,2,11:08,3 of 6,1 of 1,13 of 15
"June 17, 2023",Middleweight Bout,Method:Decision - Unanimous,Round:5,Time:5:00,Marvin Vettori,L,0,153 of 301,1 of 1,0,0,0:28,148 of 293,5 of 8,0 of 0,Jared Cannonier,W,0,241 of 411,4 of 6,0,0,3:07,195 of 354,26 of 31,20 of 26
"June 17, 2023",Lightweight Bout,Method:KO/TKO,Round:3,Time:3:25,Arman Tsarukyan,W,0,80 of 115,4 of 5,0,0,9:01,32 of 64,7 of 8,41 of 43,Joaquim Silva,L,0,23 of 41,0 of 0,0,0,0:00,11 of 25,10 of 13,2 of 3
"June 17, 2023",Middleweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Armen Petrosyan,W,0,89 of 156,1 of 2,0,0,3:21,77 of 139,10 of 14,2 of 3,Christian Leroy Duncan,L,0,59 of 122,0 of 3,0,0,1:09,58 of 121,0 of 0,1 of 1
"June 17, 2023",Featherweight Bout,Method:Submission,Round:2,Time:1:48,Pat Sabatini,W,0,27 of 35,2 of 3,1,0,6:27,1 of 2,2 of 2,24 of 31,Lucas Almeida,L,0,2 of 4,0 of 0,0,0,0:00,1 of 3,1 of 1,0 of 0
"June 17, 2023",Lightweight Bout,Method:KO/TKO,Round:1,Time:1:50,Manuel Torres,W,1,13 of 17,0 of 0,0,0,0:01,12 of 16,0 of 0,1 of 1,Nikolas Motta,L,0,7 of 14,0 of 0,0,0,0:00,7 of 14,0 of 0,0 of 0
"June 17, 2023",Welterweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Nicolas Dalby,W,0,86 of 140,2 of 5,0,0,6:36,43 of 91,36 of 41,7 of 8,Muslim Salikhov,L,0,57 of 88,2 of 2,0,0,0:55,47 of 78,10 of 10,0 of 0
"June 17, 2023",Flyweight Bout,Method:KO/TKO,Round:2,Time:1:03,Jimmy Flick,L,0,14 of 37,0 of 4,0,0,0:14,14 of 37,0 of 0,0 of 0,Alessandro Costa,W,1,65 of 91,0 of 0,0,0,0:50,54 of 76,0 of 0,11 of 15
"June 17, 2023",Bantamweight Bout,Method:Submission,Round:1,Time:2:25,Kyung Ho Kang,W,1,22 of 37,1 of 1,1,0,0:40,17 of 31,0 of 0,5 of 6,Cristian Quinonez,L,0,13 of 29,0 of 0,0,0,0:00,13 of 29,0 of 0,0 of 0
"June 17, 2023",Flyweight Bout,Method:Decision - Unanimous,Round:3,Time:4:59,Carlos Hernandez,W,0,102 of 233,2 of 7,0,0,0:40,78 of 209,17 of 17,7 of 7,Denys Bondar,L,0,76 of 170,2 of 5,0,0,0:29,68 of 157,7 of 12,1 of 1
"June 17, 2023",Women's Flyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Tereza Bleda,W,0,57 of 99,3 of 10,0,0,10:51,17 of 56,7 of 7,33 of 36,Gabriella Fernandes,L,0,23 of 47,0 of 0,0,0,0:10,22 of 45,1 of 2,0 of 0
"June 17, 2023",Light Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Zac Pauga,L,0,67 of 117,1 of 5,0,0,2:17,58 of 105,7 of 10,2 of 2,Modestas Bukauskas,W,0,56 of 112,0 of 0,0,0,1:20,50 of 102,5 of 9,1 of 1
"June 10, 2023",UFC Women's Bantamweight Title Bout,Method:Decision - Unanimous,Round:5,Time:5:00,Amanda Nunes,W,0,142 of 267,6 of 13,0,0,7:00,115 of 234,5 of 8,22 of 25,Irene Aldana,L,0,41 of 143,0 of 0,0,0,0:10,36 of 133,3 of 3,2 of 7
"June 10, 2023",Lightweight Bout,Method:KO/TKO,Round:1,Time:4:10,Charles Oliveira,W,1,26 of 36,0 of 1,0,0,0:31,7 of 13,3 of 3,16 of 20,Beneil Dariush,L,0,12 of 28,0 of 0,0,0,2:44,6 of 14,0 of 0,6 of 14
"June 10, 2023",Welterweight Bout,Method:Submission,Round:2,Time:1:06,Mike Malott,W,1,19 of 41,2 of 2,1,1,1:26,19 of 41,0 of 0,0 of 0,Adam Fugitt,L,0,9 of 28,0 of 0,0,0,0:07,9 of 28,0 of 0,0 of 0
"June 10, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Dan Ige,W,1,88 of 184,0 of 0,0,0,0:41,78 of 169,6 of 8,4 of 7,Nate Landwehr,L,0,74 of 195,0 of 4,0,0,0:26,55 of 168,18 of 24,1 of 3
"June 10, 2023",Middleweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Marc-Andre Barriault,W,1,95 of 192,0 of 0,0,0,0:40,67 of 154,26 of 35,2 of 3,Eryk Anders,L,0,83 of 169,1 of 11,0,0,3:18,41 of 115,42 of 52,0 of 2
"June 10, 2023",Women's Flyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Miranda Maverick,L,0,63 of 127,0 of 3,0,0,0:07,56 of 120,7 of 7,0 of 0,Jasmine Jasudavicius,W,0,67 of 158,1 of 1,0,0,7:35,53 of 138,13 of 18,1 of 2
"June 10, 2023",Bantamweight Bout,Method:KO/TKO,Round:1,Time:1:04,Aiemann Zahabi,W,1,5 of 8,0 of 0,0,0,0:03,3 of 5,0 of 0,2 of 3,Aoriqileng,L,0,5 of 5,0 of 0,0,0,0:00,5 of 5,0 of 0,0 of 0
"June 10, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Kyle Nelson,W,0,59 of 126,0 of 1,0,0,2:21,57 of 124,2 of 2,0 of 0,Blake Bilder,L,0,45 of 120,0 of 3,0,0,2:45,45 of 119,0 of 1,0 of 0
"June 10, 2023",Flyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,David Dvorak,L,0,53 of 114,1 of 3,0,0,1:57,46 of 102,4 of 7,3 of 5,Steve Erceg,W,0,54 of 140,3 of 4,1,0,1:29,46 of 131,7 of 8,1 of 1
"June 10, 2023",Women's Strawweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Diana Belbita,W,0,106 of 208,1 of 2,0,0,2:04,76 of 176,22 of 24,8 of 8,Maria Oliveira,L,0,64 of 168,2 of 5,0,0,4:06,62 of 166,1 of 1,1 of 1
"June 03, 2023",Flyweight Bout,Method:Decision - Split,Round:5,Time:5:00,Kai Kara-France,L,0,99 of 283,2 of 2,0,0,0:58,90 of 267,1 of 2,8 of 14,Amir Albazi,W,0,43 of 145,1 of 9,1,0,6:10,39 of 135,1 of 5,3 of 5
"June 03, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Alex Caceres,W,0,60 of 99,1 of 2,0,1,4:26,45 of 76,11 of 15,4 of 8,Daniel Pineda,L,0,27 of 56,3 of 11,1,1,3:57,22 of 50,2 of 3,3 of 3
"June 03, 2023",Lightweight Bout,Method:KO/TKO,Round:1,Time:0:23,Jim Miller,W,1,3 of 5,0 of 0,0,0,0:00,2 of 4,0 of 0,1 of 1,Jesse Butler,L,0,1 of 7,0 of 0,0,0,0:00,1 of 7,0 of 0,0 of 0
"June 03, 2023",Flyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Tim Elliott,W,0,28 of 57,6 of 7,0,0,11:13,6 of 21,4 of 4,18 of 32,Victor Altamirano,L,0,19 of 39,1 of 1,0,0,1:04,15 of 31,4 of 8,0 of 0
"June 03, 2023",Women's Flyweight Bout,Method:Submission,Round:1,Time:1:45,Karine Silva,W,0,3 of 10,1 of 1,1,0,1:21,2 of 7,0 of 0,1 of 3,Ketlen Souza,L,0,0 of 0,0 of 0,0,0,0:00,0 of 0,0 of 0,0 of 0
"June 03, 2023",Welterweight Bout,Method:Decision - Split,Round:3,Time:5:00,Abubakar Nurmagomedov,L,0,29 of 54,1 of 8,0,0,6:16,23 of 48,6 of 6,0 of 0,Elizeu Zaleski dos Santos,W,0,42 of 113,0 of 2,0,0,0:15,27 of 87,15 of 26,0 of 0
"June 03, 2023",Bantamweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Daniel Santos,W,0,50 of 91,3 of 4,0,1,10:47,10 of 38,6 of 7,34 of 46,Johnny Munoz,L,0,18 of 39,1 of 8,1,0,1:19,15 of 30,3 of 9,0 of 0
"June 03, 2023",Heavyweight Bout,Method:KO/TKO,Round:2,Time:3:17,Andrei Arlovski,L,0,24 of 56,0 of 0,0,0,0:00,24 of 56,0 of 0,0 of 0,Don'Tale Mayes,W,1,25 of 87,0 of 1,0,0,0:02,22 of 82,1 of 1,2 of 4
"June 03, 2023",Bantamweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,John Castaneda,W,1,40 of 88,3 of 6,0,0,4:16,37 of 83,1 of 2,2 of 3,Muin Gafurov,L,0,61 of 157,0 of 6,0,0,1:55,47 of 132,14 of 25,0 of 0
"June 03, 2023",Lightweight Bout,Method:KO/TKO,Round:2,Time:2:59,Jamie Mullarkey,L,0,39 of 71,3 of 8,0,0,2:28,27 of 56,12 of 14,0 of 1,Muhammad Naimov,W,1,28 of 70,0 of 1,0,0,0:01,20 of 60,3 of 5,5 of 5
"June 03, 2023",Women's Strawweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Elise Reed,W,0,53 of 120,0 of 1,0,0,1:29,45 of 111,8 of 9,0 of 0,Jinh Yu Frey,L,0,28 of 91,3 of 7,0,0,4:09,26 of 84,2 of 4,0 of 3
"June 03, 2023",Bantamweight Bout,Method:KO/TKO,Round:2,Time:3:54,Da'Mon Blackshear,W,0,66 of 135,1 of 2,0,1,2:14,38 of 96,8 of 13,20 of 26,Luan Lacerda,L,0,28 of 64,1 of 4,1,1,0:26,25 of 61,3 of 3,0 of 0
"June 03, 2023",Light Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Philipe Lins,W,0,45 of 106,1 of 3,0,0,8:24,36 of 92,9 of 14,0 of 0,Maxim Grishin,L,0,41 of 80,0 of 3,0,0,0:36,29 of 65,12 of 15,0 of 0
"May 20, 2023",Women's Strawweight Bout,Method:Decision - Unanimous,Round:5,Time:5:00,Mackenzie Dern,W,1,126 of 210,3 of 9,0,0,13:12,58 of 132,19 of 22,49 of 56,Angela Hill,L,0,66 of 108,0 of 0,0,0,7:11,35 of 74,30 of 31,1 of 3
"May 20, 2023",Middleweight Bout,Method:KO/TKO,Round:3,Time:1:01,Edmen Shahbazyan,L,0,30 of 51,1 of 1,1,0,0:41,17 of 35,11 of 14,2 of 2,Anthony Hernandez,W,0,63 of 88,6 of 15,4,0,7:11,15 of 33,8 of 8,40 of 47
"May 20, 2023",Catch Weight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Emily Ducote,L,0,112 of 270,0 of 4,0,0,0:11,106 of 262,6 of 8,0 of 0,Loopy Godinez,W,0,132 of 246,1 of 3,0,0,0:13,121 of 232,11 of 14,0 of 0
"May 20, 2023",Welterweight Bout,Method:KO/TKO,Round:2,Time:4:15,Andre Fialho,L,0,22 of 51,0 of 0,0,0,0:07,21 of 50,1 of 1,0 of 0,Joaquin Buckley,W,1,26 of 89,2 of 3,0,0,0:23,26 of 89,0 of 0,0 of 0
"May 20, 2023",Lightweight Bout,Method:KO/TKO,Round:2,Time:1:50,Diego Ferreira,W,1,30 of 71,0 of 2,0,0,0:01,29 of 70,0 of 0,1 of 1,Michael Johnson,L,0,32 of 58,0 of 0,0,0,0:00,32 of 58,0 of 0,0 of 0
"May 20, 2023",Lightweight Bout,Method:KO/TKO,Round:2,Time:2:37,Maheshate,L,0,32 of 109,0 of 2,0,0,0:00,29 of 99,3 of 10,0 of 0,Viacheslav Borshchev,W,3,85 of 148,0 of 0,0,0,0:09,69 of 118,11 of 18,5 of 12
"May 20, 2023",Women's Strawweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Karolina Kowalkiewicz,W,0,139 of 237,0 of 0,0,0,1:52,134 of 230,5 of 7,0 of 0,Vanessa Demopoulos,L,0,68 of 221,0 of 4,0,0,0:00,65 of 216,3 of 5,0 of 0
"May 20, 2023",Welterweight Bout,Method:KO/TKO,Round:2,Time:2:55,Orion Cosce,L,0,16 of 32,0 of 0,0,0,0:05,14 of 29,1 of 2,1 of 1,Gilbert Urbina,W,1,51 of 82,2 of 2,1,0,3:06,27 of 55,4 of 4,20 of 23
"May 20, 2023",Heavyweight Bout,Method:Decision - Split,Round:3,Time:5:00,Ilir Latifi,L,0,49 of 77,2 of 7,0,0,3:50,46 of 72,1 of 3,2 of 2,Rodrigo Nascimento,W,0,68 of 152,0 of 0,0,0,0:00,61 of 145,7 of 7,0 of 0
"May 20, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Chase Hooper,W,0,149 of 245,1 of 10,1,1,3:54,97 of 160,42 of 73,10 of 12,Nick Fiore,L,0,51 of 90,4 of 8,0,0,4:47,34 of 66,11 of 17,6 of 7
"May 20, 2023",Women's Flyweight Bout,Method:KO/TKO,Round:1,Time:2:58,Natalia Silva,W,1,20 of 45,0 of 0,0,0,0:16,20 of 44,0 of 0,0 of 1,Victoria Leonardo,L,0,7 of 18,0 of 1,0,0,0:00,7 of 18,0 of 0,0 of 0
"May 20, 2023",Welterweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Takashi Sato,L,0,30 of 47,2 of 6,0,1,2:21,5 of 16,15 of 16,10 of 15,Themba Gorimbo,W,1,33 of 56,3 of 8,0,2,11:15,12 of 25,9 of 12,12 of 19
"May 13, 2023",Heavyweight Bout,Method:Submission,Round:1,Time:3:43,Jairzinho Rozenstruik,L,0,0 of 2,0 of 0,0,0,0:00,0 of 2,0 of 0,0 of 0,Jailton Almeida,W,0,4 of 7,1 of 2,1,0,3:09,0 of 2,0 of 0,4 of 5
"May 13, 2023",Light Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Anthony Smith,L,0,38 of 92,1 of 3,0,0,1:22,38 of 91,0 of 1,0 of 0,Johnny Walker,W,0,92 of 192,1 of 1,0,0,0:32,81 of 178,6 of 8,5 of 6
"May 13, 2023",Welterweight Bout,Method:KO/TKO,Round:1,Time:2:57,Daniel Rodriguez,L,0,7 of 25,0 of 0,0,0,0:00,7 of 25,0 of 0,0 of 0,Ian Garry,W,1,23 of 46,0 of 0,0,0,0:10,12 of 28,0 of 0,11 of 18
"May 13, 2023",Light Heavyweight Bout,Method:KO/TKO,Round:1,Time:2:09,Carlos Ulberg,W,1,13 of 21,0 of 0,0,0,0:08,5 of 11,0 of 0,8 of 10,Ihor Potieria,L,0,5 of 9,0 of 1,0,0,0:00,5 of 9,0 of 0,0 of 0
"May 13, 2023",Welterweight Bout,Method:Submission,Round:2,Time:2:09,Tim Means,L,0,40 of 87,2 of 2,0,0,0:46,30 of 74,10 of 13,0 of 0,Alex Morono,W,0,33 of 92,0 of 0,1,0,0:00,31 of 86,2 of 6,0 of 0
"May 13, 2023",Welterweight Bout,Method:KO/TKO,Round:1,Time:4:09,Matt Brown,W,1,11 of 15,0 of 0,0,0,0:02,10 of 14,1 of 1,0 of 0,Court McGee,L,0,8 of 31,1 of 1,0,0,1:57,6 of 29,2 of 2,0 of 0
"May 13, 2023",Heavyweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Karl Williams,W,0,70 of 165,1 of 10,0,0,2:35,65 of 159,2 of 3,3 of 3,Chase Sherman,L,0,54 of 158,0 of 0,0,0,0:12,46 of 148,8 of 10,0 of 0
"May 13, 2023",Catch Weight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Cody Stamann,L,1,54 of 139,1 of 5,0,0,1:59,49 of 133,0 of 0,5 of 6,Douglas Silva de Andrade,W,0,61 of 178,0 of 1,0,0,0:00,60 of 175,1 of 3,0 of 0
"May 13, 2023",Women's Flyweight Bout,Method:Decision - Split,Round:3,Time:1:55,Ji Yeon Kim,L,0,10 of 36,0 of 1,1,1,5:44,7 of 32,3 of 3,0 of 1,Mandy Bohm,W,0,17 of 31,2 of 6,1,1,4:05,10 of 21,5 of 8,2 of 2
"May 13, 2023",Welterweight Bout,Method:KO/TKO,Round:1,Time:0:14,Bryan Battle,W,1,3 of 9,0 of 0,0,0,0:03,2 of 7,0 of 0,1 of 2,Gabe Green,L,0,6 of 12,0 of 0,0,0,0:00,6 of 12,0 of 0,0 of 0
"May 13, 2023",Women's Bantamweight Bout,Method:Submission,Round:3,Time:4:20,Jessica-Rose Clark,L,0,26 of 60,1 of 7,0,0,7:36,23 of 53,2 of 5,1 of 2,Tainara Lisboa,W,0,42 of 83,1 of 2,1,0,2:09,29 of 64,11 of 16,2 of 3
"May 06, 2023",UFC Bantamweight Title Bout,Method:Decision - Split,Round:5,Time:5:00,Aljamain Sterling,W,0,135 of 210,4 of 15,0,0,4:00,103 of 174,24 of 28,8 of 8,Henry Cejudo,L,0,99 of 174,3 of 8,0,0,5:06,82 of 152,16 of 21,1 of 1
"May 06, 2023",Welterweight Bout,Method:Decision - Unanimous,Round:5,Time:5:00,Belal Muhammad,W,0,132 of 283,0 of 0,0,0,0:00,132 of 283,0 of 0,0 of 0,Gilbert Burns,L,0,81 of 147,0 of 4,0,0,0:00,81 of 147,0 of 0,0 of 0
