Date,Weight Class,Method,Round,Time,Fighter 1 Name,Fighter 1 Result,Fighter 1 KD,Fighter 1 SIG STR,Fighter 1 TD,Fighter 1 SUB ATT,Fighter 1 REV,Fighter 1 Ctrl,Fighter 1 Distance,Fighter 1 Clinch,Fighter 1 Ground,Fighter 2 Name,Fighter 2 Result,Fighter 2 KD,Fighter 2 SIG STR,Fighter 2 TD,Fighter 2 SUB ATT,Fighter 2 REV,Fighter 2 Ctrl,Fighter 2 Distance,Fighter 2 Clinch,Fighter 2 Ground
"August 12, 2023",Welterweight Bout,Method:Decision - Unanimous,Round:5,Time:5:00,Vicente Luque,W,0,72 of 141,8 of 11,0,0,12:01,60 of 127,8 of 8,4 of 6,Rafael Dos Anjos,L,0,66 of 136,2 of 7,1,0,3:54,38 of 105,26 of 27,2 of 4
"August 12, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Cub Swanson,W,0,77 of 156,1 of 2,0,0,1:25,59 of 135,18 of 21,0 of 0,Hakeem Dawodu,L,0,95 of 176,0 of 0,0,1,3:10,79 of 158,16 of 18,0 of 0
"August 12, 2023",Light Heavyweight Bout,Method:KO/TKO,Round:1,Time:2:40,Khalil Rountree Jr.,W,1,16 of 24,0 of 0,0,0,0:31,11 of 17,3 of 4,2 of 3,Chris Daukaus,L,0,8 of 21,0 of 1,0,0,0:04,7 of 19,1 of 2,0 of 0
"August 12, 2023",Women's Strawweight Bout,Method:Submission,Round:2,Time:3:42,Polyana Viana,L,0,10 of 25,1 of 3,0,0,1:58,10 of 25,0 of 0,0 of 0,Iasmin Lucindo,W,0,10 of 24,2 of 2,1,0,3:13,9 of 21,0 of 0,1 of 3
"August 12, 2023",Middleweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,AJ Dobson,W,0,67 of 134,2 of 3,0,0,4:33,61 of 119,2 of 5,4 of 10,Tafon Nchukwi,L,0,53 of 99,0 of 0,0,0,0:00,49 of 92,4 of 7,0 of 0
"August 12, 2023",Middleweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Josh Fremd,W,0,31 of 80,0 of 3,2,1,7:15,22 of 64,6 of 11,3 of 5,Jamie Pickett,L,0,14 of 52,2 of 3,0,0,3:01,11 of 45,3 of 7,0 of 0
"August 12, 2023",Bantamweight Bout,Method:KO/TKO,Round:1,Time:2:19,JP Buys,L,0,4 of 30,0 of 1,0,0,0:00,4 of 29,0 of 1,0 of 0,Marcus McGhee,W,1,7 of 13,0 of 0,0,0,0:05,7 of 13,0 of 0,0 of 0
"August 12, 2023",Lightweight Bout,Method:KO/TKO,Round:1,Time:1:25,Terrance McKinney,W,0,30 of 47,0 of 2,0,0,0:03,16 of 30,11 of 14,3 of 3,Mike Breeden,L,0,1 of 5,0 of 1,0,0,0:00,1 of 5,0 of 0,0 of 0
"August 12, 2023",Featherweight Bout,Method:KO/TKO,Round:1,Time:4:48,Francis Marshall,L,0,2 of 7,0 of 0,0,0,0:00,2 of 7,0 of 0,0 of 0,Isaac Dulgarian,W,0,35 of 53,1 of 1,0,0,4:18,3 of 4,0 of 0,32 of 49
"August 12, 2023",Heavyweight Bout,Method:Submission,Round:1,Time:4:11,Josh Parisian,L,0,26 of 61,0 of 0,0,0,0:13,20 of 47,6 of 14,0 of 0,Martin Buday,W,0,42 of 67,1 of 1,1,0,1:56,28 of 49,14 of 18,0 of 0
"August 12, 2023",Women's Strawweight Bout,Method:KO/TKO,Round:3,Time:3:41,Jaqueline Amorim,W,0,86 of 136,1 of 3,4,2,8:05,6 of 15,0 of 0,80 of 121,Montserrat Conejo Ruiz,L,0,6 of 36,1 of 1,0,0,3:39,5 of 31,0 of 1,1 of 4
"August 12, 2023",Bantamweight Bout,Method:Submission,Round:1,Time:3:47,Da'Mon Blackshear,W,0,18 of 30,2 of 4,1,0,2:57,5 of 13,6 of 8,7 of 9,Jose Johnson,L,0,8 of 12,0 of 0,0,0,0:00,7 of 9,0 of 2,1 of 1
"August 12, 2023",Women's Flyweight Bout,Method:KO/TKO,Round:1,Time:3:41,Juliana Miller,L,0,24 of 75,0 of 2,0,0,0:29,18 of 64,6 of 11,0 of 0,Luana Santos,W,0,63 of 105,0 of 0,0,0,0:26,53 of 88,10 of 17,0 of 0
