Fighter 1 Name,Number of Fights,KOTKO_Rate,Submission_Rate,TD Success Rate,SIG STR Accuracy,Control Time Rate,Prop Distance Strikes,Prop Clinch Strikes,Prop Ground Strikes,Activity Measure,Win rate,TD Defense Rate,Striking Defense Rate,Uncontrolled Time Rate
Aaron Simpson,11.0,0.18181818181818182,0.0,0.34782608695652173,0.5279069767441861,0.42193870840457715,0.36123348017621143,0.4052863436123348,0.23348017621145375,3.8668946468499277,0.6363636363636364,0.8333333333333334,0.5616438356164384,0.8717611469156912
Abdul Razak Alhassan,12.0,0.5,0.0,0.38461538461538464,0.4833040421792619,0.13081861958266452,0.7527272727272727,0.16,0.08727272727272728,3.394863563402889,0.5,0.5,0.5585106382978724,0.6757624398073836
Abel Trujillo,10.0,0.3,0.1,0.4375,0.4137291280148423,0.1855559528065785,0.49327354260089684,0.25112107623318386,0.2556053811659193,2.5741866285305686,0.6,0.42307692307692313,0.5987654320987654,0.7027171969967823
Al Iaquinta,15.0,0.26666666666666666,0.0,0.18604651162790697,0.40544787847040337,0.06012602835638018,0.9237726098191215,0.040051679586563305,0.03617571059431524,4.122177489935235,0.6,0.7407407407407407,0.6121348314606742,0.859705933835113
Alan Belcher,15.0,0.26666666666666666,0.2,0.26666666666666666,0.4184476940382452,0.19096633567449744,0.6774193548387096,0.15591397849462366,0.16666666666666666,2.804553160571567,0.6,0.5510204081632653,0.5964083175803403,0.7226931460402034
Alan Jouban,13.0,0.3076923076923077,0.0,0.4444444444444444,0.5030349013657056,0.06837606837606838,0.8114630467571644,0.1297134238310709,0.058823529411764705,5.726495726495727,0.6153846153846154,0.5882352941176471,0.600181323662738,0.8864672364672365
Alejandro Perez,12.0,0.25,0.08333333333333333,0.21052631578947367,0.35514018691588783,0.06350914962325081,0.7918660287081339,0.05741626794258373,0.1507177033492823,3.431108719052745,0.6666666666666666,0.7,0.6067172264355363,0.9140204520990312
Aleksei Oleinik,17.0,0.058823529411764705,0.4117647058823529,0.4666666666666667,0.48906048906048905,0.3040345821325648,0.7,0.22631578947368422,0.07368421052631578,3.5706051873198845,0.5294117647058824,0.375,0.44303797468354433,0.7072046109510086
Alessio Di Chirico,11.0,0.18181818181818182,0.0,0.39285714285714285,0.3972457627118644,0.10418508694370764,0.8373333333333334,0.12,0.042666666666666665,3.4129089301503095,0.36363636363636365,0.8333333333333334,0.6152324431256182,0.9171824344238138
Alessio Sakara,14.0,0.2857142857142857,0.0,0.7857142857142857,0.4633699633699634,0.2310059171597633,0.4901185770750988,0.20553359683794467,0.30434782608695654,3.777514792899408,0.42857142857142855,0.6285714285714286,0.5922330097087378,0.7685207100591716
Alex Caceres,28.0,0.03571428571428571,0.14285714285714285,0.6842105263157895,0.5048439181916039,0.1181094427088582,0.8649609097370291,0.08813077469793888,0.046908315565031986,4.368638516577648,0.5714285714285714,0.6639344262295082,0.6346998535871157,0.7872115287715409
Alex Garcia,10.0,0.2,0.1,0.5272727272727272,0.3136094674556213,0.2783314350797267,0.7547169811320755,0.14150943396226415,0.10377358490566038,2.075740318906606,0.5,0.6666666666666667,0.5919540229885057,0.8426822323462415
Alex Morono,18.0,0.1111111111111111,0.1111111111111111,0.22727272727272727,0.42015810276679844,0.0692740083920513,0.8682972718720602,0.08466603951081844,0.047036688617121354,5.101733829467183,0.6666666666666666,0.48484848484848486,0.567776169802219,0.8692898424511124
Alex Oliveira,21.0,0.19047619047619047,0.14285714285714285,0.3902439024390244,0.510655737704918,0.3292506043513295,0.5922953451043339,0.22632423756019263,0.18138041733547353,3.210314262691378,0.5238095238095238,0.6521739130434783,0.4715447154471545,0.7494762288477035
Alex White,10.0,0.2,0.0,0.28,0.42007797270955166,0.07658770527539602,0.6682134570765661,0.2737819025522042,0.058004640371229696,3.871530300828368,0.4,0.7105263157894737,0.6075808249721293,0.6634210143874437
Alexa Grasso,11.0,0.0,0.18181818181818182,0.4444444444444444,0.4329545454545455,0.10922666666666667,0.8254593175853019,0.14173228346456693,0.03280839895013123,4.96,0.7272727272727273,0.6111111111111112,0.5936102236421725,0.8130133333333334
Alexander Gustafsson,18.0,0.2777777777777778,0.1111111111111111,0.3958333333333333,0.4070460704607046,0.16437254200929566,0.7656458055925432,0.07856191744340879,0.15579227696404793,4.15623882731498,0.5555555555555556,0.8367346938775511,0.5143699336772292,0.9037361458705756
Alexander Hernandez,12.0,0.25,0.0,0.3103448275862069,0.4166001596169194,0.12586792731570395,0.8333333333333334,0.1111111111111111,0.05555555555555555,4.733343182153937,0.5,0.6,0.56353591160221,0.9253951839267248
Alexander Volkanovski,14.0,0.35714285714285715,0.0,0.379746835443038,0.5699168556311414,0.22753953456253023,0.7360742705570292,0.09283819628647215,0.17108753315649866,6.397348249430288,0.9285714285714286,0.6923076923076923,0.5889508362899138,0.9443408604378151
Alexander Volkov,15.0,0.4,0.06666666666666667,0.6363636363636364,0.5746606334841629,0.08219914040114613,0.8346456692913385,0.09350393700787402,0.0718503937007874,5.5014326647564475,0.7333333333333333,0.7469879518072289,0.5437262357414449,0.7773997134670487
